Complete,000047,p=1,v=3,"3:AAB CC^ C^* C,A,B,1--+   1---   1+-+   ","1^-2~~3^","{{0,1,0},{1,0,-2},{0,-2,-1}}",-1,11,-13,
Complete,000048,p=1,v=3,"3:AAB CC^ C^* C,A,B,1---   1---   1--+   ","1^~2~~3^","{{0,-1,0},{-1,0,-2},{0,-2,-1}}",-1,11,-13,
Complete,000049,p=1,v=3,"2:A|| BB^ B,A,2+++   1++-   ","1^-2=3-1","{{-1,1,1},{1,0,2},{1,2,0}}",-1,13,5,
Complete,000050,p=1,v=3,"3:2A|| BB^ BB,A,1-++ 1+++   1-+-   ","1^~2=3-1","{{-1,-1,1},{-1,0,2},{1,2,0}}",-1,13,-19,
Complete,000051,p=1,v=3,"2:A|| BB^ B,A,2-++   1---   ","1^~2=3~1","{{-1,-1,-1},{-1,0,2},{-1,2,0}}",-1,13,5,
Complete,000052,p=1,v=3,"2:A|| BB^ B,A,2+-+   1++-   ","1^-2-~3-1","{{-1,1,1},{1,0,0},{1,0,0}}",-1,5,-7,
Complete,000053,p=1,v=3,"3:2A|| BB^ BB,A,1--+ 1+-+   1-+-   ","1^~2-~3-1","{{-1,-1,1},{-1,0,0},{1,0,0}}",-1,5,-7,
Complete,000054,p=1,v=3,"2:A|| BB^ B,A,2--+   1---   ","1^~2-~3~1","{{-1,-1,-1},{-1,0,0},{-1,0,0}}",-1,5,-7,
Complete,000055,p=1,v=3,"2:A|| BB^ B,A,2+--   1++-   ","1^-2~~3-1","{{-1,1,1},{1,0,-2},{1,-2,0}}",-1,13,-19,
Complete,000056,p=1,v=3,"3:2A|| BB^ BB,A,1--- 1+--   1-+-   ","1^~2~~3-1","{{-1,-1,1},{-1,0,-2},{1,-2,0}}",-1,13,5,
Complete,000057,p=1,v=3,"2:A|| BB^ B,A,2---   1---   ","1^~2~~3~1","{{-1,-1,-1},{-1,0,-2},{-1,-2,0}}",-1,13,-19,
Complete,000058,p=1,v=3,"3:AC^ B^^ B** B,A,C,1++-   1+--   1+++   ","1^^-2^-3","{{-2,1,0},{1,-1,1},{0,1,2}}",-1,13,-7,
Complete,000059,p=1,v=3,"3:AC^ B^^ B** B,A,C,1-+-   1---   1+++   ","1^^~2^-3","{{-2,-1,0},{-1,-1,1},{0,1,2}}",-1,13,-7,
Complete,000060,p=1,v=3,"3:AC^ B^^ B** B,A,C,1+--   1+--   1-++   ","1^^-2^~3","{{-2,1,0},{1,-1,-1},{0,-1,2}}",-1,13,-7,
Complete,000061,p=1,v=3,"3:AC^ B^^ B** B,A,C,1---   1---   1-++   ","1^^~2^~3","{{-2,-1,0},{-1,-1,-1},{0,-1,2}}",-1,13,-7,
Complete,000062,p=1,v=3,"3:ACC BB* B^^ B,C,A,1+++   1+++   1+--   ","1^^-2=3","{{-2,1,0},{1,0,2},{0,2,1}}",-1,15,-1,
Complete,000063,p=1,v=3,"3:ACC BB* B^^ B,C,A,1-++   1+++   1---   ","1^^~2=3","{{-2,-1,0},{-1,0,2},{0,2,1}}",-1,15,-1,
Complete,000064,p=1,v=3,"3:ACC BB* B^^ B,C,A,1+-+   1-++   1+--   ","1^^-2-~3","{{-2,1,0},{1,0,0},{0,0,1}}",-1,7,-13,
Complete,000065,p=1,v=3,"3:ACC BB* B^^ B,C,A,1--+   1-++   1---   ","1^^~2-~3","{{-2,-1,0},{-1,0,0},{0,0,1}}",-1,7,-13,
Complete,000066,p=1,v=3,"3:ACC BB* B^^ B,C,A,1+--   1--+   1+--   ","1^^-2~~3","{{-2,1,0},{1,0,-2},{0,-2,1}}",-1,15,-1,
Complete,000067,p=1,v=3,"3:ACC BB* B^^ B,C,A,1---   1--+   1---   ","1^^~2~~3","{{-2,-1,0},{-1,0,-2},{0,-2,1}}",-1,15,-1,
Complete,000068,p=1,v=3,"2:AA* B^* B,A,1+++   2+-+   ","1^-2-3^","{{0,1,0},{1,1,1},{0,1,0}}",1,5,7,
Complete,000069,p=1,v=3,"3:AA* 2B^* B,AA,1-++   1--+ 1+-+   ","1^~2-3^","{{0,-1,0},{-1,1,1},{0,1,0}}",1,5,7,
Complete,000070,p=1,v=3,"2:AA* B^* B,A,1--+   2--+   ","1^~2~3^","{{0,-1,0},{-1,1,-1},{0,-1,0}}",1,5,7,
Complete,000071,p=1,v=3,"3:A^* A** BC^ B,C,A,1+-+   1+++   1++-   ","1^-2^-3","{{0,1,0},{1,-1,1},{0,1,2}}",1,9,7,
Complete,000072,p=1,v=3,"3:A^* A** BC^ B,C,A,1--+   1+++   1-+-   ","1^~2^-3","{{0,-1,0},{-1,-1,1},{0,1,2}}",1,9,7,
Complete,000073,p=1,v=3,"3:A^* A** BC^ B,C,A,1+-+   1-++   1+--   ","1^-2^~3","{{0,1,0},{1,-1,-1},{0,-1,2}}",1,9,7,
Complete,000074,p=1,v=3,"3:A^* A** BC^ B,C,A,1--+   1-++   1---   ","1^~2^~3","{{0,-1,0},{-1,-1,-1},{0,-1,2}}",1,9,7,
