Mixed Prime,000058,p=1,v=4,"1-2^-3=4",2,18,20,106,152,666,1136,4354,
Mixed Prime,000059,p=1,v=4,"1^^-2^-3^-4^",-4,12,-28,76,-204,564,-1572,4420,
Mixed Prime,000060,p=1,v=4,"1^^-2-3^^ 2-4^",-4,14,-28,82,-204,566,-1516,4194,
Mixed Prime,000061,p=1,v=4,"1^^-2^-3-4^^",-4,16,-28,92,-204,592,-1460,4036,
Mixed Prime,000062,p=1,v=4,"1^-2-3-4",4,12,28,76,204,564,1572,4420,
Mixed Prime,000063,p=1,v=4,"1^-2-3 2-4",4,14,28,82,204,566,1516,4194,
Mixed Prime,000064,p=1,v=4,"1-2^-3-4",4,16,28,92,204,592,1460,4036,
Mixed Prime,000065,p=1,v=5,"1^-2^-3-4^ 3-5^",-1,9,-7,33,-41,141,-225,641,
Mixed Prime,000066,p=1,v=5,"1^-2-3^-4-2 4-5^",-1,11,-1,39,9,149,83,591,
Mixed Prime,000067,p=1,v=5,"1^-2^-3-4^-5^",-1,11,-7,39,-31,149,-141,591,
Mixed Prime,000068,p=1,v=5,"1^-2^-3^-4-5^",-1,11,-7,47,-51,233,-337,1215,
Mixed Prime,000069,p=1,v=5,"1^-2-3-4^-5^-3",-1,13,-1,49,9,205,97,897,
Mixed Prime,000070,p=1,v=5,"1^-2^-3-4^-5-3",-1,13,-1,57,9,277,97,1393,
Mixed Prime,000071,p=1,v=5,"1^-2-3-4^-5-3 2-5",-1,13,5,61,59,337,461,1957,
Mixed Prime,000072,p=1,v=5,"1^^-2-3-4^ 3-5^",-1,13,-7,57,-41,277,-253,1409,
Mixed Prime,000073,p=1,v=5,"1^-2-3^-5-4^-2",-1,13,-7,61,-61,337,-463,1957,
Mixed Prime,000074,p=1,v=5,"1^-2-3-4^^ 3-5^",-1,13,-7,65,-61,373,-477,2225,
Mixed Prime,000075,p=1,v=5,"1^-2-3^-5^-4-2",-1,13,-7,69,-61,409,-491,2501,
Mixed Prime,000076,p=1,v=5,"1^-2-5-3-4^-5 1-3",-1,15,-1,71,19,369,223,1999,
Mixed Prime,000077,p=1,v=5,"1^^-2-3-4-2 4-5^",-1,15,-1,87,9,549,111,3535,
Mixed Prime,000078,p=1,v=5,"1^-2^-5-3-4-5 1-3",-1,15,-1,95,-1,645,-1,4415,
Mixed Prime,000079,p=1,v=5,"1^-2-4^-5-3^-1",-1,15,-7,63,-41,285,-225,1343,
Mixed Prime,000080,p=1,v=5,"1^^-2-3^-4-5^",-1,15,-7,63,-51,297,-337,1503,
