Primes,000040,p=1,v=4," oBB 2OAC  oBB  _        2  _ ","","1^-2~3-4-2 1-4",0,12,0,36,0,108,0,324,0,972,0,2916,
Primes,000041,p=1,v=4," oBC  oAD  ooA  ooB 2_     _       ","","1^-2^-3^-4",0,12,0,60,0,324,0,1764,0,9612,0,52380,
Primes,000042,p=1,v=4,"2ooC  ABD  ooC  __    _  2    ","","1^^-2-3^ 2-4",0,14,0,82,0,518,0,3298,0,21014,0,133906,
Primes,000043,p=1,v=4,"2oOB  AAC  ooB  _    _ _   _       ","","1-2~3^-4^-2",0,14,-6,98,-70,698,-686,5026,-6198,36554,-53438,268274,
Primes,000044,p=1,v=4," ooB  ACC 2oOB  __  3    ","","1^^-2-3-4-2",0,14,6,98,70,698,686,5026,6198,36554,53438,268274,
Primes,000045,p=1,v=4," ooB  ACC 2OOB   _       2__  ","","1^-2-3~~4-2",0,14,-12,82,-140,566,-1260,4194,-10524,32134,-85404,250258,
Primes,000046,p=1,v=4," ooB  ACC 2OOB   _  3    ","","1^-2-3=4-2",0,14,12,82,140,566,1260,4194,10524,32134,85404,250258,
Primes,000047,p=1,v=4," oBD  ACC  BBD  oAC  _        2  _ ","","1^-2~4=3-1",0,16,0,76,0,400,0,2212,0,12496,0,71212,
Primes,000048,p=1,v=4," oBD  ACC  BBD  oAC  _   3    ","","1^-2-4=3-1",0,16,0,108,0,784,0,5732,0,41936,0,306828,
Primes,000049,p=1,v=4," oCD  oCC  ABB  ooA 2_   2    ","","1-2^-3=4^",0,18,-6,106,-90,714,-938,5122,-8610,37978,-74602,287314,
Primes,000050,p=1,v=4," ooC  CDD  oAB  oBB  __  3    ","","1^^-2-3=4",0,18,6,106,90,714,938,5122,8610,37978,74602,287314,
Primes,000051,p=1,v=4," oBB  AAC  BDD  oCC  _   3    ","","1^=2-3=4",0,20,0,132,0,980,0,7556,0,58900,0,460548,
Primes,000052,p=1,v=4,"2oOC  ooC  AAB 2_     _       ","","1^-2-3^-4^-2",-2,10,-8,34,-32,118,-128,418,-512,1510,-2048,5554,
Primes,000053,p=1,v=4,"2oOC  ooC  AAB  _    _ _ 2 _  ","","1^-2~3^-4^-2",-2,10,-20,66,-172,502,-1388,3938,-11036,31110,-87452,246162,
Primes,000054,p=1,v=4," oBB 2oAC  oBB 2_    _ _    _ ","","1^-2^~4-3^-1",-2,12,-14,52,-82,252,-478,1316,-2786,7212,-16238,40660,
Primes,000055,p=1,v=4," ooC  oCD  ABD  oBC 2__    __    _ ","","1^^-2~3^-4~2",-2,14,-8,74,-52,422,-380,2498,-2780,15094,-19868,92402,
Primes,000056,p=1,v=4," ooC  oCD  ABD  oBC 2__    _       ","","1^^-2~3^-4-2",-2,14,-20,74,-152,470,-1136,3266,-8480,23654,-63296,174386,
Primes,000057,p=1,v=4," oCD  oDD  ooA  ABB 2_     _       ","","1^-2^-3=4^",-2,14,-20,82,-172,578,-1444,4418,-11900,34914,-97044,279586,
Primes,000058,p=1,v=4," ooB  oAC  oBD  ooC  __  2_        ","","1^^-2^-3^-4",-2,16,-14,100,-122,688,-1094,4996,-9554,37456,-81182,286564,
Primes,000059,p=1,v=4," ooB  ACC 2OOB  __  3    ","","1^^-2-3=4-2",-2,18,-2,114,38,762,558,5282,5686,37578,51390,272370,
Primes,000060,p=1,v=4," ooB  oAC  BDD  oCC  __   _   2    ","","1^^-2^-3=4",-2,18,-8,122,-52,882,-436,6562,-3932,49458,-35444,375170,
Primes,000061,p=1,v=4,"2ooB  AAC  ooB 2__  2    ","","1^^-2-3^^ 2-4",-2,18,-14,114,-102,762,-814,5282,-6710,37578,-55486,272370,
Primes,000062,p=1,v=4," ooD  oCC  BBD  oAC  __   _   2    ","","1^^-2-3=4^",-2,18,-20,106,-152,666,-1136,4354,-8480,29418,-63296,204178,
Primes,000063,p=1,v=4," ooB  ACC 2oOB   _       2 _  ","","1^-2-3~4-2",2,10,8,34,32,118,128,418,512,1510,2048,5554,
Primes,000064,p=1,v=4," ooB  ACC 2oOB   _  3    ","","1^-2-3-4-2",2,10,20,66,172,502,1388,3938,11036,31110,87452,246162,
Primes,000065,p=1,v=4,"2OBC 2oAA        _     _      ","","1~2-3-4-2 1-4",2,12,14,52,82,252,478,1316,2786,7212,16238,40660,
Primes,000066,p=1,v=4," oBC  ACD  oAB  ooB  _     _     _      ","","1-2-3^-4~2",2,14,8,74,52,422,380,2498,2780,15094,19868,92402,
Primes,000067,p=1,v=4," oBC  ACD  oAB  ooB  _   3    ","","1-2-3^-4-2",2,14,20,74,152,470,1136,3266,8480,23654,63296,174386,
Primes,000068,p=1,v=4," ooC  CDD  oAB  oBB   _  3    ","","1^-2-3=4",2,14,20,82,172,578,1444,4418,11900,34914,97044,279586,
Primes,000069,p=1,v=4," ooB  ACC  BBD  ooC   _  3    ","","1^-2=3-4",2,16,14,100,122,688,1094,4996,9554,37456,81182,286564,
Primes,000070,p=1,v=4," BBC 2OOA  ooA      2__       ","","1-2-3~~4-2",2,18,2,114,-38,762,-558,5282,-5686,37578,-51390,272370,
Primes,000071,p=1,v=4," oBB  AAC  oBD  ooC  _   3    ","","1-2-3=4^",2,18,8,122,52,882,436,6562,3932,49458,35444,375170,
Primes,000072,p=1,v=4," ooB  ACC 2ooB  __  3    ","","1^^-2-3 2-4",2,18,14,114,102,762,814,5282,6710,37578,55486,272370,
Primes,000073,p=1,v=4," oBD  ACC  oBB  ooA  _   3    ","","1-2^-3=4",2,18,20,106,152,666,1136,4354,8480,29418,63296,204178,
Primes,000074,p=1,v=4," ooB  oAC  oBD  ooC  __  2_     _  ","","1^^-2^-3^-4^",-4,12,-28,76,-204,564,-1572,4420,-12484,35372,-100412,285388,
Primes,000075,p=1,v=4,"3ooC  AAB 2__    _       ","","1^^-2-3^^ 2-4^",-4,14,-28,82,-204,566,-1516,4194,-11548,32134,-89500,250258,
Primes,000076,p=1,v=4," ooC  ooD  oAD  oBC 2__   _        ","","1^^-2^-3-4^^",-4,16,-28,92,-204,592,-1460,4036,-10468,28496,-75772,205724,
Primes,000077,p=1,v=4," ooB  oAC  oBD  ooC   _  3    ","","1^-2-3-4",4,12,28,76,204,564,1572,4420,12484,35372,100412,285388,
Primes,000078,p=1,v=4," ooB  ACC 2ooB   _  3    ","","1^-2-3 2-4",4,14,28,82,204,566,1516,4194,11548,32134,89500,250258,
Primes,000079,p=1,v=4," oBC  oAD  ooA  ooB  _   3    ","","1-2^-3-4",4,16,28,92,204,592,1460,4036,10468,28496,75772,205724,
Primes,000080,p=1,v=5," oBD  ACC  ooD  BBD  ACC  _      _ 2 _       ","","1^-2-3^-5-~4-2",-1,9,-7,33,-41,141,-225,641,-1177,3009,-5985,14385,
Primes,000081,p=1,v=5," oCC 2OOC 2OAB  _   2 _  2    ","","1^-2-3-1 2-4-~5-3",-1,11,-1,39,9,149,83,591,503,2411,2661,10053,
Primes,000082,p=1,v=5,"2oBC 2OOA  oAA 2_   2 _       ","","1-2^-4-~5-3^-1",-1,11,-7,39,-31,149,-141,591,-655,2411,-3059,10053,
Primes,000083,p=1,v=5," oBC  oAE  ADD  CCE  oBD 2_      _   _       ","","1^-2^-4-~5-3-1",-1,11,-7,47,-51,233,-337,1215,-2095,6511,-12563,35525,
Primes,000084,p=1,v=5," oCC 2OOC 2OAB  _     _    __  _    _ _ ","","1^-2~3-1 2~4-~5-3",-1,11,-13,55,-111,341,-813,2255,-5701,15251,-39403,104005,
Primes,000085,p=1,v=5,"2oOC  ooD  AAD  oBC 2_     _  2    ","","1^-2-3-4^-5^-3",-1,13,-1,49,9,205,97,897,665,4033,3937,18481,
Primes,000086,p=1,v=5," oCD  oDE  ooA  ABE  oBD 2_     _  2    ","","1^-2^-3-4^-5-3",-1,13,-1,57,9,277,97,1393,701,7113,4509,36609,
Primes,000087,p=1,v=5," oDD  ooC  BDD 2OAC  _     _  3    ","","1^-2-3-4^-5-3 2-5",-1,13,5,61,59,337,461,1957,3263,11653,22109,70573,
Primes,000088,p=1,v=5,"2oCD  ooC  AAB  oAA  _    _ _   _          _ ","","1^-2-3^~5-4^-2",-1,13,-7,45,-41,169,-211,677,-1033,2853,-4951,12477,
Primes,000089,p=1,v=5," oBD  oAE  ooD  ACE  oBD 2_     _  2  _ ","","1^-2-3^-5^-4~2",-1,13,-7,53,-41,241,-239,1157,-1393,5733,-8031,28997,
Primes,000090,p=1,v=5," ooD 2OOC  BBD  oAC  __  2 _  2    ","","1^^-2-3-4-~5-3",-1,13,-7,57,-41,277,-253,1409,-1573,7353,-9637,39009,
Primes,000091,p=1,v=5," oCC  ooD 2OAD  BCC  _     _   _    _ _    _ ","","1^-2~3-4^-5~3 2-5",-1,13,-7,61,-41,313,-267,1669,-1753,9093,-11287,50221,
Primes,000092,p=1,v=5,"2oCD  ooC  AAB  oAA 2_     _  2    ","","1^-2-3^-5-4^-2",-1,13,-7,61,-61,337,-463,1957,-3265,11653,-22111,70573,
Primes,000093,p=1,v=5," ooD  CCD  BBE  ABE  oCD  __  2 _  2    ","","1^^-2-3-5-~4-2",-1,13,-7,65,-61,373,-477,2225,-3481,13553,-24377,83825,
Primes,000094,p=1,v=5," oBD  oAE  ooD  ACE  oBD 2_     _  2    ","","1^-2-3^-5^-4-2",-1,13,-7,69,-61,409,-491,2501,-3697,15573,-26687,98325,
Primes,000095,p=1,v=5," oDE  oCD  ooB  ABE  oAD 2_     _  2  _ ","","1^-2^-3-4^-5~3",-1,13,-13,57,-91,301,-603,1745,-3919,10593,-25191,65745,
Primes,000096,p=1,v=5,"2oOC  ooD  AAD  oBC  _    _ _ 2 _       ","","1^-2-3~4^-5^-3",-1,13,-13,81,-131,565,-1163,4129,-9715,31033,-78739,237249,
Primes,000097,p=1,v=5," oCC  ooD 2OAD  BCC  _     _  2_        ","","1^-2-3-4^-5~3 2-5",-1,13,-19,77,-181,577,-1555,4613,-12961,37573,-106987,307805,
Primes,000098,p=1,v=5," oCE  oCD  ABD  BCE  oAD 2_        2  _ ","","1^-2~5-3-4^-5 1-3",-1,15,-1,55,-1,225,-1,975,-1,4355,-1,19765,
Primes,000099,p=1,v=5," oCE  oCD  ABD  BCE  oAD 2_   3    ","","1^-2-5-3-4^-5 1-3",-1,15,-1,71,19,369,223,1999,1799,11115,12803,62933,
Primes,000100,p=1,v=5,"2oOB 2OAC  oBB  _    _ _        _       ","","1^-2^-5-3-4-5 1~3",-1,15,-1,79,19,453,223,2687,1871,16215,14123,98821,
Primes,000101,p=1,v=5," ooC  ooD  ADE  BCE  oCD  __    _  3    ","","1^^-2-3-4-2 4-5^",-1,15,-1,87,9,549,111,3535,971,22895,7765,148581,
Primes,000102,p=1,v=5,"2oOB 2OAC  oBB 2_   3    ","","1^-2^-5-3-4-5 1-3",-1,15,-1,95,-1,645,-1,4415,-1,30255,-1,207365,
Primes,000103,p=1,v=5,"2oOC  oCC 2oAB 3_   2    ","","1^-2-4^-5-3^-1",-1,15,-7,63,-41,285,-225,1343,-1231,6495,-6777,31989,
