Complete Prime,000047,p=1,v=4,BD*C|AB|DAC*1111++-+++++-+-+,"1^-2~4=3-1",0,16,0,76,0,400,0,2212,
Complete Prime,000048,p=1,v=4,B**AC*BD*C**1111+--++-++++++,"1^^-2^-3-4",0,16,0,108,0,784,0,5732,
Complete Prime,000049,p=1,v=4,CD*C|*B|AA**1111++-++-++++++,"1-2^-3=4^",0,18,-6,106,-90,714,-938,5122,
Complete Prime,000050,p=1,v=4,C**D|CAB*B|*1111+--+++++++++,"1^^-2-3=4",0,18,6,106,90,714,938,5122,
Complete Prime,000051,p=1,v=4,B**C|AB|DC**1111+--+++++++++,"1^^-2=3-4",0,20,0,132,0,980,0,7556,
Complete Prime,000052,p=1,v=4,AC*AC*C**AAB1111----+-++-+-+,"1^-2~3^~4^-2",-2,10,-8,34,-32,118,-128,418,
Complete Prime,000053,p=1,v=4,AC*AC*C**AAB1111+--++-++-+-+,"1^-2~3^-4^-2",-2,10,-20,66,-172,502,-1388,3938,
Complete Prime,000054,p=1,v=4,BB*AC*AC*BB*1111++-+--++-+-+,"1^-2^~4-3^-1",-2,12,-14,52,-82,252,-478,1316,
Complete Prime,000055,p=1,v=4,C**CD*ABDBC*1111+--++-++++++,"1^^-2-3^-4-2",-2,14,-8,74,-52,422,-380,2498,
Complete Prime,000056,p=1,v=4,C**CD*ABDBC*1111+--++-++-+-+,"1^^-2-3^-4~2",-2,14,-20,74,-152,470,-1136,3266,
Complete Prime,000057,p=1,v=4,CD*D|*A**B|A1111++-++-++-+++,"1^-2^-3=4^",-2,14,-20,82,-172,578,-1444,4418,
Complete Prime,000058,p=1,v=4,B**AC*BD*C**1111+--++-++-+++,"1^^-2^-3^-4",-2,16,-14,100,-122,688,-1094,4996,
Complete Prime,000059,p=1,v=4,B**ACCC|B112+--++++++,"1^^-2-3=4-2",-2,18,-2,114,38,762,558,5282,
Complete Prime,000060,p=1,v=4,B**AC*D|BC|*1111+--++-++++++,"1^^-2^-3=4",-2,18,-8,122,-52,882,-436,6562,
Complete Prime,000061,p=1,v=4,B**AACB**211+--++++++,"1^^-2-3^^ 2-4",-2,18,-14,114,-102,762,-814,5282,
Complete Prime,000062,p=1,v=4,D**C|*B|DAC*1111+--++-++++++,"1^^-2-3=4^",-2,18,-20,106,-152,666,-1136,4354,
Complete Prime,000063,p=1,v=4,B**ACCBC*112++-++++-+,"1^-2-3~4-2",2,10,8,34,32,118,128,418,
Complete Prime,000064,p=1,v=4,B**ACCBC*112++-++++++,"1^-2-3-4-2",2,10,20,66,172,502,1388,3938,
Complete Prime,000065,p=1,v=4,ABCABCAA*AA*1111+-+++++-++++,"1~2-3-4-2 1-4",2,12,14,52,82,252,478,1316,
Complete Prime,000066,p=1,v=4,BC*ACDAB*B**1111++-+-++-++++,"1-2-3^-4~2",2,14,8,74,52,422,380,2498,
Complete Prime,000067,p=1,v=4,BC*ACDAB*B**1111++-+++++++++,"1-2-3^-4-2",2,14,20,74,152,470,1136,3266,
Complete Prime,000068,p=1,v=4,C**D|CAB*B|*1111++-+++++++++,"1^-2-3=4",2,14,20,82,172,578,1444,4418,
Complete Prime,000069,p=1,v=4,B**AC*BD*C**1111+--+++++++++,"1^^-2-3-4",2,16,14,100,122,688,1094,4996,
Complete Prime,000070,p=1,v=4,BBCB|AA**121+++--++++,"1-2-3~~4-2",2,18,2,114,-38,762,-558,5282,
